timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519465202;2;2;2;2;1181;1240;617;16
1519474503;2;2;2;2;1500;1560;622;18
1519455902;2;2;2;2;63;118;464;10
1519485902;2;2;2;2;4286;4374;607;22
1519467301;2;2;2;2;1259;1314;619;16
1519476603;2;2;2;2;1437;1495;621;18
1519458002;2;2;2;2;203;260;566;12
1519488002;2;2;2;2;1119;1178;611;21
1519469402;2;2;2;2;1427;1484;622;17
1519478703;2;2;2;2;2106;2173;627;18
1519460102;2;2;2;2;562;613;599;13
1519490101;2;2;2;2;687;741;602;20
1519471502;2;2;2;2;1728;1790;625;17
1519480803;2;2;2;2;3060;3135;633;19
1519462202;2;2;2;2;745;797;605;15
1519466920;2;2;2;2;1286;1345;619;16
1519482902;2;2;2;2;5710;5821;632;21
1519473602;2;2;2;2;1527;1588;623;18
1519464302;2;2;2;2;1007;1061;613;15
1519455002;2;2;2;2;59;115;463;9
1519485001;2;2;2;2;4925;5029;603;22
1519466402;2;2;2;2;1182;1238;617;16
1519475703;2;2;2;2;1437;1498;622;18
1519457102;2;2;2;2;149;205;556;11
1519487101;2;2;2;2;2600;2671;619;22
1519468502;2;2;2;2;1352;1409;620;17
1519477803;2;2;2;2;1786;1846;625;18
1519459202;2;2;2;2;368;422;582;13
1519489202;2;2;2;2;911;967;610;20
1519479903;2;2;2;2;2316;2384;630;19
1519470603;2;2;2;2;1462;1526;623;17
1519461302;2;2;2;2;669;719;602;14
1519491302;2;2;2;2;111;175;545;19
1519482002;2;2;2;2;2785;2857;630;20
1519472702;2;2;2;2;1616;1673;623;18
1519463402;2;2;2;2;860;914;609;15
1519484102;2;2;2;2;3843;3936;622;21
1519474802;2;2;2;2;1415;1475;621;18
1519465502;2;2;2;2;1151;1208;616;16
1519456202;2;2;2;2;78;132;464;10
1519486202;2;2;2;2;3862;3953;619;23
1519467601;2;2;2;2;1268;1326;619;16
1519476903;2;2;2;2;1550;1608;624;18
1519458302;2;2;2;2;234;294;570;12
1519488302;2;2;2;2;996;1053;610;21
1519479002;2;2;2;2;2038;2102;627;18
1519469702;2;2;2;2;1463;1522;623;17
1519460402;2;2;2;2;603;652;600;13
1519490401;2;2;2;2;501;558;591;20
1519481103;2;2;2;2;3225;3304;633;19
1519471803;2;2;2;2;1787;1851;626;17
1519462502;2;2;2;2;751;804;606;15
1519483201;2;2;2;2;4575;4681;624;21
1519473902;2;2;2;2;1460;1520;622;18
1519464602;2;2;2;2;996;1048;613;16
1519455302;2;2;2;2;74;131;459;9
1519485301;2;2;2;2;3781;3875;612;22
1519466702;2;2;2;2;1330;1389;620;16
1519476003;2;2;2;2;1451;1511;621;18
1519457402;2;2;2;2;161;217;559;11
1519487402;2;2;2;2;1645;1706;626;22
1519478103;2;2;2;2;1956;2020;626;18
1519459502;2;2;2;2;417;469;586;13
1519468803;2;2;2;2;1356;1416;620;17
1519489502;2;2;2;2;740;796;605;20
1519480202;2;2;2;2;2745;2815;633;19
1519470903;2;2;2;2;1677;1739;625;17
1519461602;2;2;2;2;694;746;603;14
1519491601;2;2;2;2;44;106;478;19
1519482302;2;2;2;2;2685;2764;630;20
1519473003;2;2;2;2;1481;1539;622;18
1519463702;2;2;2;2;909;963;610;15
1519484402;2;2;2;2;4625;4734;620;22
1519475102;2;2;2;2;1449;1509;622;18
1519465802;2;2;2;2;1165;1221;617;16
1519456502;2;2;2;2;122;180;538;11
1519486502;2;2;2;2;3291;3371;603;22
1519467901;2;2;2;2;1386;1448;621;16
1519477203;2;2;2;2;1800;1860;626;18
1519458602;2;2;2;2;321;375;578;12
1519488602;2;2;2;2;932;992;610;21
1519479302;2;2;2;2;2003;2065;627;18
1519470002;2;2;2;2;1492;1548;623;17
1519460702;2;2;2;2;675;726;602;14
1519490701;2;2;2;2;330;391;578;20
1519481402;2;2;2;2;3074;3153;632;20
1519472103;2;2;2;2;1786;1847;626;17
1519462802;2;2;2;2;828;880;608;15
1519483501;2;2;2;2;4157;4257;625;21
1519474203;2;2;2;2;1553;1611;623;18
1519464902;2;2;2;2;1116;1174;615;16
1519455602;2;2;2;2;66;109;475;10
1519485602;2;2;2;2;3635;3726;608;22
1519467001;2;2;2;2;1296;1353;620;16
1519476303;2;2;2;2;1452;1515;621;18
1519457702;2;2;2;2;179;235;562;11
1519487702;2;2;2;2;1253;1315;614;21
1519478403;2;2;2;2;2041;2104;627;18
1519469103;2;2;2;2;1429;1489;622;17
1519459802;2;2;2;2;494;544;593;13
1519489801;2;2;2;2;813;870;607;20
1519480502;2;2;2;2;2761;2832;633;19
