day;month;year;address;bus;strings;stringid;produces_day;pac_max;whday_offset
1;2;2018;2;2;2;1;17385;5251;133709505
2;2;2018;2;2;2;1;29235;7917;133744138
3;2;2018;2;2;2;1;26550;11415;133802483
4;2;2018;2;2;2;1;39074;9269;133855459
5;2;2018;2;2;2;1;15695;7223;133933458
6;2;2018;2;2;2;1;24657;6111;133965055
7;2;2018;2;2;2;1;6070;1975;134014250
8;2;2018;2;2;2;1;2168;502;134026575
9;2;2018;2;2;2;1;6641;2053;134031091
10;2;2018;2;2;2;1;16989;5283;134044789
11;2;2018;2;2;2;1;20503;5065;134078783
12;2;2018;2;2;2;1;29493;9433;134119681
13;2;2018;2;2;2;1;37943;12814;134178913
14;2;2018;2;2;2;1;41864;12846;134255016
15;2;2018;2;2;2;1;6023;2337;134338708
16;2;2018;2;2;2;1;17087;7839;134350985
17;2;2018;2;2;2;1;8852;2866;134384969
18;2;2018;2;2;2;1;4694;1584;134402540
19;2;2018;2;2;2;1;11518;2565;134412131
20;2;2018;2;2;2;1;13458;3028;134435126
21;2;2018;2;2;2;1;16404;5986;134461938
22;2;2018;2;2;2;1;5183;1133;134494637
23;2;2018;2;2;2;1;6864;1281;134504908
24;2;2018;2;2;2;1;16088;5719;134518542
25;2;2018;2;2;2;1;56734;12843;134550608
26;2;2018;2;2;2;1;73046;12898;134664642
27;2;2018;2;2;2;1;44988;10926;134812372
28;2;2018;2;2;2;1;70308;13593;134903613
