timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519208703;2;2;2;1;1343;1403;618;18
1519229402;2;2;2;1;490;547;587;20
1519199404;2;2;2;1;383;439;581;15
1519220103;2;2;2;1;5986;6101;640;24
1519210803;2;2;2;1;1863;1924;624;19
1519201503;2;2;2;1;621;675;599;16
1519231502;2;2;2;1;28;84;446;19
1519222202;2;2;2;1;2512;2581;619;24
1519212903;2;2;2;1;2613;2687;628;20
1519203603;2;2;2;1;660;710;600;17
1519224302;2;2;2;1;684;739;595;22
1519215003;2;2;2;1;2930;3009;629;21
1519205703;2;2;2;1;953;1008;609;17
1519226402;2;2;2;1;467;523;584;20
1519196404;2;2;2;1;134;197;543;12
1519217103;2;2;2;1;5020;5127;637;22
1519207803;2;2;2;1;1018;1075;610;18
1519228502;2;2;2;1;884;942;605;20
1519198504;2;2;2;1;505;558;591;14
1519219202;2;2;2;1;4266;4365;633;23
1519209903;2;2;2;1;1362;1422;616;18
1519230602;2;2;2;1;158;225;552;20
1519200604;2;2;2;1;855;909;608;15
1519221302;2;2;2;1;4745;4851;630;25
1519212003;2;2;2;1;2617;2692;629;19
1519202703;2;2;2;1;736;787;603;16
1519223402;2;2;2;1;960;1017;603;22
1519214103;2;2;2;1;3134;3217;633;20
1519204803;2;2;2;1;836;891;606;17
1519225502;2;2;2;1;554;607;591;21
1519195504;2;2;2;1;11;60;424;11
1519216203;2;2;2;1;3618;3703;632;22
1519206903;2;2;2;1;927;984;608;18
1519197604;2;2;2;1;323;378;577;13
1519227603;2;2;2;1;723;778;599;20
1519218303;2;2;2;1;3981;4074;630;23
1519209003;2;2;2;1;1590;1648;622;18
1519229702;2;2;2;1;399;456;581;20
1519199704;2;2;2;1;435;489;585;15
1519220403;2;2;2;1;5222;5341;635;24
1519211103;2;2;2;1;2147;2215;627;19
1519201803;2;2;2;1;563;616;596;16
1519231802;2;2;2;1;23;87;432;19
1519222503;2;2;2;1;1816;1880;614;23
1519213203;2;2;2;1;2287;2353;625;20
1519203903;2;2;2;1;747;799;604;17
1519224602;2;2;2;1;509;567;586;21
1519215303;2;2;2;1;2985;3066;629;21
1519206003;2;2;2;1;951;1006;609;17
1519226702;2;2;2;1;756;810;600;20
1519196704;2;2;2;1;289;347;573;12
1519217403;2;2;2;1;4872;4967;635;23
1519208103;2;2;2;1;1075;1131;612;18
1519228802;2;2;2;1;593;648;593;20
1519198804;2;2;2;1;463;514;587;14
1519219503;2;2;2;1;4009;4103;633;23
1519210203;2;2;2;1;1692;1754;622;19
1519230902;2;2;2;1;88;152;533;19
1519200904;2;2;2;1;776;828;605;16
1519221602;2;2;2;1;4181;4274;628;25
1519212303;2;2;2;1;2614;2684;628;20
1519203003;2;2;2;1;688;739;601;17
1519223702;2;2;2;1;776;834;598;22
1519214403;2;2;2;1;3477;3559;633;21
1519205104;2;2;2;1;922;977;609;17
1519225802;2;2;2;1;508;563;587;21
1519195804;2;2;2;1;22;78;420;12
1519216503;2;2;2;1;4075;4151;634;22
1519207203;2;2;2;1;1052;1109;611;18
1519227902;2;2;2;1;633;689;595;20
1519197904;2;2;2;1;501;552;591;13
1519218603;2;2;2;1;3403;3489;627;23
1519209303;2;2;2;1;1636;1697;622;18
1519230002;2;2;2;1;242;305;568;20
1519200004;2;2;2;1;557;609;595;15
1519220703;2;2;2;1;5478;5586;634;24
1519211403;2;2;2;1;2721;2793;631;19
1519232102;2;2;2;1;3;46;421;19
1519202104;2;2;2;1;610;662;599;16
1519222803;2;2;2;1;1479;1541;613;23
1519213503;2;2;2;1;2258;2325;626;20
1519204203;2;2;2;1;850;904;607;17
1519224903;2;2;2;1;475;531;583;21
1519215603;2;2;2;1;3625;3710;633;21
1519206304;2;2;2;1;1148;1204;614;17
1519227002;2;2;2;1;594;648;593;20
1519197004;2;2;2;1;338;392;579;13
1519217703;2;2;2;1;4531;4626;633;23
1519208403;2;2;2;1;1113;1169;613;18
1519229102;2;2;2;1;521;578;587;20
1519199104;2;2;2;1;441;495;585;14
1519219803;2;2;2;1;3187;3265;629;23
1519210503;2;2;2;1;1634;1694;621;19
1519231202;2;2;2;1;52;117;504;19
1519201204;2;2;2;1;699;751;602;16
1519221902;2;2;2;1;3463;3542;626;24
1519212603;2;2;2;1;2525;2593;627;20
1519203303;2;2;2;1;688;739;601;17
1519224002;2;2;2;1;852;910;601;22
1519214703;2;2;2;1;3226;3307;631;21
1519205404;2;2;2;1;866;922;607;17
1519226102;2;2;2;1;409;467;580;21
1519196104;2;2;2;1;62;117;470;12
1519216803;2;2;2;1;4125;4215;632;22
1519207503;2;2;2;1;1052;1107;612;18
1519228202;2;2;2;1;696;754;598;20
1519198204;2;2;2;1;599;650;599;14
1519218902;2;2;2;1;3793;3881;630;23
1519209603;2;2;2;1;1506;1563;619;18
1519230302;2;2;2;1;237;300;568;20
1519200304;2;2;2;1;761;813;605;15
1519221003;2;2;2;1;5516;5622;633;25
1519211703;2;2;2;1;2422;2488;627;19
1519232402;2;2;2;1;1;50;404;19
1519202404;2;2;2;1;613;666;599;16
1519223102;2;2;2;1;1238;1299;608;23
1519213803;2;2;2;1;2139;2204;625;20
1519204503;2;2;2;1;846;899;607;17
1519195204;2;2;2;1;7;58;399;11
1519225203;2;2;2;1;684;739;596;21
1519215903;2;2;2;1;3763;3846;634;21
1519206604;2;2;2;1;996;1049;610;18
1519197304;2;2;2;1;212;272;566;13
1519227303;2;2;2;1;645;699;596;20
1519218003;2;2;2;1;4840;4929;635;23
