day;month;year;address;bus;strings;stringid;produces_day;pac_max;whday_offset
1;2;2018;3;2;2;1;3967;1266;21819103
2;2;2018;3;2;2;1;4017;1372;21827160
3;2;2018;3;2;2;1;5914;2882;21835366
4;2;2018;3;2;2;1;9010;2762;21847354
5;2;2018;3;2;2;1;3868;2158;21865519
6;2;2018;3;2;2;1;6486;1896;21873518
7;2;2018;3;2;2;1;1466;426;21886650
8;2;2018;3;2;2;1;459;103;21889871
9;2;2018;3;2;2;1;1049;385;21890884
10;2;2018;3;2;2;1;2795;969;21893288
11;2;2018;3;2;2;1;4542;1134;21899334
12;2;2018;3;2;2;1;7202;3557;21908582
13;2;2018;3;2;2;1;10247;3417;21923237
14;2;2018;3;2;2;1;12753;3209;21944356
15;2;2018;3;2;2;1;1185;392;21970311
16;2;2018;3;2;2;1;4094;2137;21973063
17;2;2018;3;2;2;1;2085;627;21981420
18;2;2018;3;2;2;1;692;152;21985718
19;2;2018;3;2;2;1;2214;511;21987267
20;2;2018;3;2;2;1;2915;649;21992062
21;2;2018;3;2;2;1;3883;1805;21998017
22;2;2018;3;2;2;1;1255;232;22005909
23;2;2018;3;2;2;1;1569;259;22008508
24;2;2018;3;2;2;1;4498;2329;22011750
25;2;2018;3;2;2;1;17066;3319;22021080
26;2;2018;3;2;2;1;16589;3405;22055684
27;2;2018;3;2;2;1;10773;2962;22089185
28;2;2018;3;2;2;1;15197;3573;22110862
