timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519558503;3;2;2;2;2828;2905;639;37
1519560303;3;2;2;2;3003;3086;635;39
1519562103;3;2;2;2;3077;3159;631;39
1519563903;3;2;2;2;3273;3347;622;41
1519565703;3;2;2;2;3305;3390;630;41
1519567502;3;2;2;2;3243;3321;623;42
1519569302;3;2;2;2;3102;3185;629;42
1519571102;3;2;2;2;2848;2928;632;41
1519572902;3;2;2;2;2450;2521;634;39
1519574702;3;2;2;2;199;223;610;35
1519576502;3;2;2;2;126;144;604;33
1519578302;3;2;2;2;72;46;548;31
1519580102;3;2;2;2;59;4;249;30
1519540804;3;2;2;2;50;29;423;22
1519542604;3;2;2;2;115;122;594;24
1519546203;3;2;2;2;333;367;638;28
1519544404;3;2;2;2;265;298;632;26
1519548003;3;2;2;2;662;693;651;29
1519549803;3;2;2;2;791;821;652;30
1519551603;3;2;2;2;1035;1069;656;31
1519553403;3;2;2;2;991;1024;653;32
1519555203;3;2;2;2;2590;2656;646;35
1519557003;3;2;2;2;1572;1620;651;34
1519558803;3;2;2;2;2928;3009;634;37
1519560603;3;2;2;2;3020;3100;633;39
1519562403;3;2;2;2;3158;3238;625;40
1519564203;3;2;2;2;3276;3352;621;41
1519567802;3;2;2;2;3232;3310;624;42
1519566003;3;2;2;2;3315;3403;631;41
1519569602;3;2;2;2;3069;3148;627;41
1519573202;3;2;2;2;2108;2178;668;38
1519571403;3;2;2;2;2784;2858;629;41
1519575002;3;2;2;2;187;213;613;34
1519576802;3;2;2;2;116;128;598;32
1519578602;3;2;2;2;50;27;434;31
1519580402;3;2;2;2;56;4;235;30
1519541104;3;2;2;2;62;42;422;23
1519542904;3;2;2;2;141;160;609;25
1519546503;3;2;2;2;339;373;638;28
1519544704;3;2;2;2;283;317;634;26
1519548303;3;2;2;2;719;749;652;29
1519550103;3;2;2;2;724;753;649;31
1519551903;3;2;2;2;1065;1098;656;32
1519553703;3;2;2;2;1047;1080;653;32
1519555503;3;2;2;2;2326;2379;640;35
1519557303;3;2;2;2;2047;2110;651;35
1519559103;3;2;2;2;2983;3062;631;38
1519560903;3;2;2;2;3062;3142;631;39
1519562703;3;2;2;2;3191;3269;624;40
1519564503;3;2;2;2;3263;3342;623;41
1519568102;3;2;2;2;3222;3305;626;42
1519566303;3;2;2;2;3324;3412;632;42
1519569902;3;2;2;2;3029;3104;626;41
1519573502;3;2;2;2;1472;1531;690;38
1519571703;3;2;2;2;2716;2801;631;40
1519575302;3;2;2;2;173;200;615;34
1519577102;3;2;2;2;106;110;594;32
1519578902;3;2;2;2;49;18;380;31
1519541404;3;2;2;2;98;79;558;23
1519545003;3;2;2;2;284;316;633;27
1519543204;3;2;2;2;169;196;619;25
1519546803;3;2;2;2;312;345;637;28
1519548603;3;2;2;2;690;722;651;30
1519550403;3;2;2;2;740;769;650;31
1519552203;3;2;2;2;1079;1113;655;32
1519554003;3;2;2;2;1151;1188;655;32
1519555803;3;2;2;2;1881;1936;640;35
1519557603;3;2;2;2;1662;1710;646;35
1519559403;3;2;2;2;2908;2986;631;38
1519561203;3;2;2;2;3096;3174;630;39
1519563003;3;2;2;2;3225;3302;625;40
1519566602;3;2;2;2;3308;3393;629;42
1519564803;3;2;2;2;3295;3375;625;41
1519568402;3;2;2;2;3205;3284;626;42
1519570202;3;2;2;2;2996;3075;629;41
1519572002;3;2;2;2;2657;2738;634;40
1519573802;3;2;2;2;1756;1815;671;37
1519575602;3;2;2;2;161;186;613;34
1519577402;3;2;2;2;98;93;588;32
1519579202;3;2;2;2;55;14;425;30
1519539904;3;2;2;2;40;12;290;20
1519541704;3;2;2;2;79;66;462;23
1519545303;3;2;2;2;281;314;633;27
1519543504;3;2;2;2;167;194;617;25
1519547103;3;2;2;2;356;390;638;28
1519548903;3;2;2;2;784;814;654;30
1519550703;3;2;2;2;805;835;651;31
1519552503;3;2;2;2;968;998;653;32
1519554303;3;2;2;2;1360;1403;657;32
1519556103;3;2;2;2;1663;1705;641;35
1519557903;3;2;2;2;2728;2805;651;35
1519559703;3;2;2;2;2924;3005;635;38
1519561503;3;2;2;2;3112;3190;627;40
1519563303;3;2;2;2;3256;3334;623;40
1519566902;3;2;2;2;3300;3382;624;42
1519565103;3;2;2;2;3285;3364;623;41
1519568702;3;2;2;2;3158;3233;624;42
1519570502;3;2;2;2;2951;3037;631;41
1519572302;3;2;2;2;2589;2663;635;40
1519574102;3;2;2;2;325;366;634;36
1519575902;3;2;2;2;152;174;610;33
1519577702;3;2;2;2;79;63;461;31
1519579502;3;2;2;2;59;10;426;30
1519540204;3;2;2;2;47;19;352;21
