timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519386601;3;2;2;1;218;242;615;28
1519377302;3;2;2;1;145;160;604;27
1519398001;3;2;2;1;154;172;605;28
1519388701;3;2;2;1;201;225;612;28
1519379401;3;2;2;1;195;217;611;27
1519370102;3;2;2;1;54;39;538;24
1519400101;3;2;2;1;100;82;573;28
1519390801;3;2;2;1;201;225;613;28
1519381501;3;2;2;1;213;236;614;27
1519372202;3;2;2;1;103;90;576;25
1519402201;3;2;2;1;50;33;531;28
1519392901;3;2;2;1;198;220;612;28
1519383601;3;2;2;1;234;257;616;27
1519374302;3;2;2;1;130;135;595;27
1519404301;3;2;2;1;31;16;437;28
1519395001;3;2;2;1;138;151;599;28
1519385701;3;2;2;1;212;236;614;28
1519376402;3;2;2;1;137;151;601;27
1519406401;3;2;2;1;5;0;253;28
1519397101;3;2;2;1;163;179;607;28
1519387801;3;2;2;1;215;239;614;28
1519378502;3;2;2;1;187;210;611;27
1519369202;3;2;2;1;37;24;457;22
1519399201;3;2;2;1;114;111;588;28
1519389901;3;2;2;1;210;234;614;28
1519380601;3;2;2;1;203;226;613;27
1519371302;3;2;2;1;84;69;570;25
1519401301;3;2;2;1;57;41;545;28
1519392001;3;2;2;1;214;240;615;28
1519382701;3;2;2;1;252;277;620;27
1519373402;3;2;2;1;118;115;588;26
1519403401;3;2;2;1;38;22;512;28
1519394101;3;2;2;1;214;238;615;28
1519384801;3;2;2;1;259;286;621;27
1519375502;3;2;2;1;131;141;598;27
1519405501;3;2;2;1;12;2;429;28
1519396201;3;2;2;1;169;191;608;28
1519386901;3;2;2;1;213;237;615;28
1519377602;3;2;2;1;152;170;606;27
1519368302;3;2;2;1;20;7;261;21
1519398301;3;2;2;1;140;151;600;28
1519389001;3;2;2;1;208;232;614;28
1519379702;3;2;2;1;193;214;611;27
1519370402;3;2;2;1;62;47;543;24
1519400401;3;2;2;1;91;74;571;28
1519391101;3;2;2;1;197;222;612;28
1519381801;3;2;2;1;218;242;615;27
1519372502;3;2;2;1;108;99;582;26
1519402501;3;2;2;1;47;28;523;28
1519393201;3;2;2;1;200;223;613;28
1519383901;3;2;2;1;217;240;615;27
1519374602;3;2;2;1;136;144;598;27
1519404601;3;2;2;1;27;8;302;28
1519395301;3;2;2;1;191;212;609;28
1519386001;3;2;2;1;225;250;615;28
1519376702;3;2;2;1;146;163;604;27
1519406701;3;2;2;1;3;0;244;28
1519397401;3;2;2;1;146;160;603;28
1519388101;3;2;2;1;219;242;615;28
1519378802;3;2;2;1;184;207;609;27
1519369502;3;2;2;1;46;30;519;23
1519399501;3;2;2;1;108;98;581;28
1519390201;3;2;2;1;219;243;616;28
1519380901;3;2;2;1;228;252;616;27
1519371602;3;2;2;1;87;71;571;25
1519401601;3;2;2;1;59;42;543;28
1519392301;3;2;2;1;206;230;613;28
1519383001;3;2;2;1;246;271;619;27
1519373702;3;2;2;1;117;113;589;26
1519403701;3;2;2;1;41;20;510;28
1519394401;3;2;2;1;202;226;613;28
1519385101;3;2;2;1;250;277;620;27
1519375802;3;2;2;1;141;157;603;27
1519405801;3;2;2;1;9;1;405;28
1519396501;3;2;2;1;169;188;608;28
1519387201;3;2;2;1;217;242;615;28
1519377901;3;2;2;1;183;205;610;27
1519368602;3;2;2;1;26;9;300;21
1519398601;3;2;2;1;135;144;597;28
1519389301;3;2;2;1;223;248;616;28
1519380002;3;2;2;1;198;221;612;27
1519370702;3;2;2;1;68;56;555;24
1519400701;3;2;2;1;81;63;568;28
1519391401;3;2;2;1;224;249;617;28
1519382101;3;2;2;1;197;220;612;27
1519372802;3;2;2;1;106;99;582;26
1519402801;3;2;2;1;45;24;518;28
1519393501;3;2;2;1;208;232;614;28
1519384201;3;2;2;1;186;208;610;27
1519374902;3;2;2;1;132;141;597;27
1519404901;3;2;2;1;22;6;341;28
1519395601;3;2;2;1;223;250;617;28
1519386301;3;2;2;1;203;227;613;28
1519377002;3;2;2;1;154;174;607;27
1519397701;3;2;2;1;141;152;600;28
1519388401;3;2;2;1;227;252;616;28
1519379101;3;2;2;1;178;200;609;27
1519369802;3;2;2;1;49;36;529;23
1519399801;3;2;2;1;103;85;575;28
1519390501;3;2;2;1;216;241;615;28
1519381201;3;2;2;1;258;284;621;27
1519371902;3;2;2;1;98;83;574;25
1519401901;3;2;2;1;59;42;542;28
1519392601;3;2;2;1;188;211;610;28
1519383301;3;2;2;1;212;235;614;27
1519374002;3;2;2;1;121;117;590;27
1519404001;3;2;2;1;31;16;499;28
1519394701;3;2;2;1;198;223;613;28
1519385401;3;2;2;1;216;242;615;27
1519376102;3;2;2;1;132;144;599;27
1519406101;3;2;2;1;9;1;296;28
1519396801;3;2;2;1;176;195;609;28
1519387501;3;2;2;1;195;218;611;28
1519378201;3;2;2;1;175;198;609;27
1519368902;3;2;2;1;30;16;371;22
1519398901;3;2;2;1;120;120;590;28
1519389601;3;2;2;1;214;238;615;28
1519380301;3;2;2;1;219;243;616;27
1519371002;3;2;2;1;81;67;565;24
1519401001;3;2;2;1;69;52;564;28
1519391701;3;2;2;1;241;267;618;28
1519382401;3;2;2;1;222;247;616;27
1519373102;3;2;2;1;107;96;580;26
1519403101;3;2;2;1;39;23;511;28
1519393801;3;2;2;1;202;225;613;28
1519384501;3;2;2;1;222;247;615;27
1519375202;3;2;2;1;136;143;598;27
1519405201;3;2;2;1;16;4;375;28
1519395901;3;2;2;1;190;214;611;28
