timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519633804;3;2;2;2;299;342;650;29
1519635604;3;2;2;2;819;868;679;30
1519637404;3;2;2;2;982;1031;677;31
1519639204;3;2;2;2;1763;1822;665;34
1519641004;3;2;2;2;1785;1842;662;35
1519642804;3;2;2;2;2421;2491;656;37
1519644604;3;2;2;2;2547;2617;649;38
1519646404;3;2;2;2;2908;2985;641;39
1519648203;3;2;2;2;3143;3233;642;40
1519650003;3;2;2;2;3208;3294;637;41
1519651803;3;2;2;2;3399;3490;634;42
1519653603;3;2;2;2;2627;2704;643;41
1519655403;3;2;2;2;3155;3246;632;41
1519657203;3;2;2;2;2635;2709;638;40
1519659003;3;2;2;2;1973;2032;646;38
1519660803;3;2;2;2;404;435;633;35
1519662603;3;2;2;2;148;182;626;33
1519664403;3;2;2;2;61;39;434;31
1519666203;3;2;2;2;40;6;280;30
1519626904;3;2;2;2;68;51;457;23
1519628704;3;2;2;2;116;143;620;25
1519630504;3;2;2;2;189;227;637;27
1519632304;3;2;2;2;219;259;640;28
1519634104;3;2;2;2;330;372;652;29
1519635904;3;2;2;2;838;882;673;30
1519637704;3;2;2;2;1113;1163;673;32
1519639504;3;2;2;2;1727;1785;664;34
1519641304;3;2;2;2;2083;2144;661;36
1519643104;3;2;2;2;1994;2056;655;37
1519644904;3;2;2;2;2699;2776;648;38
1519648503;3;2;2;2;3097;3189;644;40
1519646704;3;2;2;2;3145;3232;637;40
1519650303;3;2;2;2;3332;3424;636;41
1519652103;3;2;2;2;3052;3130;636;41
1519653903;3;2;2;2;2289;2348;636;40
1519655703;3;2;2;2;3057;3143;633;41
1519657503;3;2;2;2;2571;2647;639;40
1519659303;3;2;2;2;1631;1695;645;37
1519661103;3;2;2;2;262;295;625;34
1519662903;3;2;2;2;123;147;613;32
1519664703;3;2;2;2;51;27;419;31
1519666503;3;2;2;2;42;4;247;30
1519627204;3;2;2;2;77;73;572;24
1519629004;3;2;2;2;148;179;631;26
1519630804;3;2;2;2;196;234;637;27
1519632604;3;2;2;2;240;281;644;28
1519634404;3;2;2;2;398;442;658;29
1519636204;3;2;2;2;731;778;674;30
1519638004;3;2;2;2;1228;1278;670;32
1519639804;3;2;2;2;1730;1784;664;34
1519641604;3;2;2;2;2167;2233;658;36
1519643404;3;2;2;2;1956;2011;658;36
1519645204;3;2;2;2;2750;2828;646;39
1519648803;3;2;2;2;3166;3255;637;41
1519647004;3;2;2;2;3033;3117;634;40
1519650603;3;2;2;2;3369;3465;635;42
