timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519196404;3;2;2;1;60;50;544;23
1519198204;3;2;2;1;139;156;599;25
1519201803;3;2;2;1;130;143;594;28
1519200004;3;2;2;1;129;137;593;26
1519203603;3;2;2;1;143;161;599;28
1519207203;3;2;2;1;223;252;613;29
1519205404;3;2;2;1;183;209;607;29
1519209003;3;2;2;1;345;377;624;30
1519210803;3;2;2;1;404;434;627;30
1519212603;3;2;2;1;555;586;631;30
1519214403;3;2;2;1;776;809;637;30
1519216203;3;2;2;1;808;839;635;31
1519218003;3;2;2;1;1144;1181;637;31
1519221602;3;2;2;1;935;967;628;32
1519219803;3;2;2;1;837;870;635;32
1519223402;3;2;2;1;209;230;603;31
1519227002;3;2;2;1;143;154;595;30
1519225203;3;2;2;1;154;162;592;30
1519228802;3;2;2;1;134;144;593;29
1519230602;3;2;2;1;66;56;560;29
1519232402;3;2;2;1;28;16;487;29
1519234202;3;2;2;1;13;2;244;28
1519194904;3;2;2;1;25;9;286;21
1519196704;3;2;2;1;96;82;570;24
1519198504;3;2;2;1;123;136;595;25
1519200304;3;2;2;1;165;186;605;27
1519203903;3;2;2;1;159;182;606;28
1519202104;3;2;2;1;138;152;597;28
1519205703;3;2;2;1;205;232;610;29
1519207503;3;2;2;1;230;258;613;29
1519209303;3;2;2;1;357;390;624;30
1519211103;3;2;2;1;449;484;637;30
1519212903;3;2;2;1;565;594;631;30
1519214703;3;2;2;1;720;750;638;31
1519216503;3;2;2;1;938;973;638;31
1519218303;3;2;2;1;880;912;632;32
1519220103;3;2;2;1;1805;1850;643;32
1519221902;3;2;2;1;735;764;630;32
1519223702;3;2;2;1;163;177;597;31
1519225502;3;2;2;1;133;137;590;30
1519229102;3;2;2;1;121;124;587;29
1519227303;3;2;2;1;150;162;596;30
1519230902;3;2;2;1;54;40;538;29
1519232702;3;2;2;1;20;8;320;29
1519195204;3;2;2;1;27;15;357;22
1519197004;3;2;2;1;105;101;583;24
1519198804;3;2;2;1;116;123;590;26
1519200604;3;2;2;1;180;204;607;27
1519204203;3;2;2;1;181;206;607;28
1519202404;3;2;2;1;137;152;597;28
1519206003;3;2;2;1;205;231;610;29
1519207803;3;2;2;1;223;251;613;29
1519209603;3;2;2;1;328;358;621;30
1519211403;3;2;2;1;606;638;635;30
1519213203;3;2;2;1;486;516;628;30
1519215003;3;2;2;1;634;664;632;30
1519216803;3;2;2;1;959;994;636;31
1519218603;3;2;2;1;759;789;630;32
1519222202;3;2;2;1;531;556;619;32
1519220403;3;2;2;1;1466;1514;638;32
1519224002;3;2;2;1;174;191;599;31
1519225802;3;2;2;1;130;131;588;30
