timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519633804;3;2;2;1;296;338;653;29
1519635604;3;2;2;1;776;823;689;30
1519637404;3;2;2;1;908;953;696;31
1519639204;3;2;2;1;1704;1762;679;34
1519641004;3;2;2;1;1753;1807;668;35
1519642804;3;2;2;1;2396;2466;658;37
1519644604;3;2;2;1;2534;2602;651;38
1519646404;3;2;2;1;2912;2988;643;39
1519648203;3;2;2;1;3139;3228;643;40
1519650003;3;2;2;1;3214;3300;638;41
1519651803;3;2;2;1;3405;3496;634;42
1519653603;3;2;2;1;2639;2710;643;41
1519655403;3;2;2;1;3170;3261;634;41
1519657203;3;2;2;1;2626;2700;648;40
1519659003;3;2;2;1;1664;1714;626;38
1519660803;3;2;2;1;389;419;636;35
1519662603;3;2;2;1;140;171;621;33
1519664403;3;2;2;1;62;38;562;31
1519666203;3;2;2;1;9;1;280;30
1519626904;3;2;2;1;68;51;566;23
1519628704;3;2;2;1;106;131;621;25
1519630504;3;2;2;1;183;219;637;27
1519632304;3;2;2;1;215;255;643;28
1519634104;3;2;2;1;322;363;653;29
1519635904;3;2;2;1;801;843;682;30
1519637704;3;2;2;1;1037;1083;693;32
1519639504;3;2;2;1;1671;1727;675;34
1519641304;3;2;2;1;2047;2107;666;36
1519643104;3;2;2;1;1977;2036;657;37
1519644904;3;2;2;1;2684;2760;650;38
1519648503;3;2;2;1;3095;3187;645;40
1519646704;3;2;2;1;3139;3225;639;40
1519650303;3;2;2;1;3338;3431;638;41
1519652103;3;2;2;1;3065;3142;638;41
1519653903;3;2;2;1;2295;2352;638;40
1519655703;3;2;2;1;3068;3154;635;41
1519657503;3;2;2;1;2556;2632;652;40
1519659303;3;2;2;1;1078;1119;680;37
1519661103;3;2;2;1;248;280;628;34
1519662903;3;2;2;1;113;135;611;32
1519664703;3;2;2;1;44;24;530;31
1519666503;3;2;2;1;9;1;251;30
1519627204;3;2;2;1;67;64;583;24
1519629004;3;2;2;1;139;169;632;26
1519630804;3;2;2;1;189;226;638;27
1519632604;3;2;2;1;237;278;648;28
1519634404;3;2;2;1;386;428;661;29
1519636204;3;2;2;1;689;732;684;30
1519638004;3;2;2;1;1156;1204;690;32
1519639804;3;2;2;1;1683;1735;675;34
1519641604;3;2;2;1;2130;2195;662;36
1519643404;3;2;2;1;1952;2002;660;36
1519645204;3;2;2;1;2740;2818;648;39
1519648803;3;2;2;1;3166;3256;639;41
1519647004;3;2;2;1;3031;3115;636;40
1519650603;3;2;2;1;3374;3471;637;42
1519652403;3;2;2;1;1863;1910;639;40
1519654203;3;2;2;1;2831;2918;645;40
1519656003;3;2;2;1;2820;2896;636;41
1519657803;3;2;2;1;2044;2101;644;39
1519659603;3;2;2;1;1012;1049;677;37
1519661403;3;2;2;1;198;229;625;34
1519663203;3;2;2;1;101;118;607;32
1519665003;3;2;2;1;33;15;506;31
1519666803;3;2;2;1;13;1;234;30
1519625700;3;2;2;1;25;8;270;21
1519627504;3;2;2;1;65;77;596;24
1519629304;3;2;2;1;152;186;637;26
1519631104;3;2;2;1;195;232;640;27
1519632904;3;2;2;1;226;266;646;28
1519634704;3;2;2;1;586;631;676;29
1519636504;3;2;2;1;690;736;684;31
1519638304;3;2;2;1;1177;1224;688;32
1519640104;3;2;2;1;1703;1758;675;34
1519641904;3;2;2;1;2147;2208;661;36
1519643704;3;2;2;1;2351;2419;661;37
1519645504;3;2;2;1;2576;2641;647;38
1519647304;3;2;2;1;3353;3441;632;40
1519649103;3;2;2;1;3245;3338;639;41
1519650903;3;2;2;1;3363;3460;637;42
1519652703;3;2;2;1;2310;2392;644;40
1519654503;3;2;2;1;3311;3399;641;41
1519656303;3;2;2;1;2464;2532;635;40
1519658103;3;2;2;1;1648;1703;646;38
1519659903;3;2;2;1;837;871;624;36
1519661703;3;2;2;1;179;210;626;34
1519663503;3;2;2;1;93;107;603;32
1519665303;3;2;2;1;25;8;370;31
1519627800;3;2;2;1;73;89;604;24
1519626004;3;2;2;1;25;13;324;22
1519629604;3;2;2;1;155;190;637;26
1519631404;3;2;2;1;203;241;640;27
1519633204;3;2;2;1;284;325;652;28
1519635004;3;2;2;1;586;631;681;29
1519636804;3;2;2;1;589;629;673;31
1519638604;3;2;2;1;1308;1362;693;32
1519640404;3;2;2;1;1819;1876;672;35
1519642204;3;2;2;1;2223;2288;659;37
1519644004;3;2;2;1;2454;2535;665;37
1519645804;3;2;2;1;2786;2868;646;39
1519649403;3;2;2;1;3306;3395;634;41
1519647604;3;2;2;1;2283;2335;637;39
1519651203;3;2;2;1;3385;3482;636;42
1519653003;3;2;2;1;2572;2637;647;40
1519654803;3;2;2;1;3315;3409;637;42
1519656603;3;2;2;1;2619;2697;647;40
1519658403;3;2;2;1;1948;2008;659;39
1519662002;3;2;2;1;206;241;634;33
