day;month;year;address;bus;strings;stringid;produces_day;pac_max;whday_offset
1;2;2018;3;2;2;2;4088;1290;0
2;2;2018;3;2;2;2;4185;1399;0
3;2;2018;3;2;2;2;6073;2882;0
4;2;2018;3;2;2;2;9155;2757;0
5;2;2018;3;2;2;2;4127;2156;0
6;2;2018;3;2;2;2;6646;1920;0
7;2;2018;3;2;2;2;1754;563;0
8;2;2018;3;2;2;2;554;114;0
9;2;2018;3;2;2;2;1354;467;0
10;2;2018;3;2;2;2;3250;1038;0
11;2;2018;3;2;2;2;4705;1154;0
12;2;2018;3;2;2;2;7451;3553;0
13;2;2018;3;2;2;2;10871;3403;0
14;2;2018;3;2;2;2;13201;3213;0
15;2;2018;3;2;2;2;1566;589;0
16;2;2018;3;2;2;2;4265;2159;0
17;2;2018;3;2;2;2;2211;645;0
18;2;2018;3;2;2;2;856;192;0
19;2;2018;3;2;2;2;2579;575;0
20;2;2018;3;2;2;2;3035;664;0
21;2;2018;3;2;2;2;4008;1815;0
