timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1519798801;2;2;2;1;77;137;505;7
1519802400;2;2;2;1;1992;2052;668;12
1519800601;2;2;2;1;696;737;639;9
1519806000;2;2;2;1;6563;6684;667;20
1519804201;2;2;2;1;4915;5017;677;16
1519807800;2;2;2;1;7629;7751;655;24
1519809600;2;2;2;1;8885;9043;655;26
1519811400;2;2;2;1;8784;8930;655;28
1519813200;2;2;2;1;10735;10915;654;32
1519815000;2;2;2;1;11598;11862;649;35
1519816800;2;2;2;1;11774;12033;647;38
1519818600;2;2;2;1;11530;11777;646;39
1519820400;2;2;2;1;11496;11741;651;37
1519822200;2;2;2;1;11330;11587;636;39
1519824000;2;2;2;1;9260;9443;631;37
1519829400;2;2;2;1;3860;3959;633;29
1519825804;2;2;2;1;5293;5412;632;34
1519827604;2;2;2;1;3872;3969;626;31
1519831204;2;2;2;1;3201;3290;639;26
1519833004;2;2;2;1;2196;2268;634;24
1519834804;2;2;2;1;1164;1223;623;22
1519836604;2;2;2;1;422;482;592;21
1519799101;2;2;2;1;155;216;584;8
1519800901;2;2;2;1;856;901;647;10
1519802701;2;2;2;1;2760;2830;675;13
1519804501;2;2;2;1;5073;5169;677;17
1519808100;2;2;2;1;7771;7904;655;24
1519806301;2;2;2;1;6758;6880;664;21
1519809900;2;2;2;1;9099;9250;653;27
1519811700;2;2;2;1;9148;9294;658;29
1519813500;2;2;2;1;10779;10976;653;33
1519815300;2;2;2;1;11697;11963;648;36
1519817100;2;2;2;1;11656;11900;646;38
1519818900;2;2;2;1;11687;11927;644;39
1519820700;2;2;2;1;10004;10241;646;37
1519822500;2;2;2;1;11960;12229;632;39
1519824300;2;2;2;1;8300;8481;638;36
1519826100;2;2;2;1;6179;6333;639;33
1519827904;2;2;2;1;3718;3818;635;30
1519829704;2;2;2;1;3078;3164;633;28
1519831504;2;2;2;1;3067;3158;638;26
1519833304;2;2;2;1;1860;1929;631;24
1519835104;2;2;2;1;1030;1089;620;22
1519836904;2;2;2;1;247;311;578;20
1519799401;2;2;2;1;247;303;604;8
1519801201;2;2;2;1;1377;1430;664;10
1519803001;2;2;2;1;3111;3180;676;13
1519804801;2;2;2;1;5363;5464;676;18
1519806601;2;2;2;1;6954;7072;659;22
1519808400;2;2;2;1;8180;8321;655;24
1519810200;2;2;2;1;8689;8827;654;27
1519812000;2;2;2;1;9737;9889;659;29
1519813800;2;2;2;1;10960;11192;651;33
1519815600;2;2;2;1;11833;12089;649;36
1519817400;2;2;2;1;11849;12108;646;38
1519819200;2;2;2;1;11881;12136;645;39
1519821000;2;2;2;1;11293;11520;646;38
1519822800;2;2;2;1;10363;10576;629;39
1519824600;2;2;2;1;9964;10172;636;37
1519826400;2;2;2;1;7564;7725;643;33
1519828204;2;2;2;1;6370;6520;641;30
1519830004;2;2;2;1;2930;3017;635;28
1519831804;2;2;2;1;2921;3007;638;26
1519833604;2;2;2;1;1651;1718;630;24
1519835404;2;2;2;1;922;982;617;22
1519837204;2;2;2;1;140;209;558;20
1519801500;2;2;2;1;1670;1725;666;11
1519799701;2;2;2;1;358;411;615;8
1519803300;2;2;2;1;3592;3675;676;14
1519805100;2;2;2;1;5717;5826;675;18
1519808700;2;2;2;1;8340;8488;654;25
1519806901;2;2;2;1;7181;7308;657;22
1519810500;2;2;2;1;8574;8717;655;27
1519812300;2;2;2;1;10399;10585;657;30
1519814100;2;2;2;1;11328;11566;652;33
1519815900;2;2;2;1;11949;12221;649;37
1519817700;2;2;2;1;11977;12237;646;39
1519819500;2;2;2;1;13593;13909;642;40
1519821300;2;2;2;1;11052;11297;643;38
1519826700;2;2;2;1;7643;7801;640;33
1519823104;2;2;2;1;9636;9855;634;38
1519824904;2;2;2;1;8941;9136;633;36
1519828504;2;2;2;1;8576;8759;632;31
1519830304;2;2;2;1;3542;3643;640;27
1519832104;2;2;2;1;2682;2762;637;25
1519833904;2;2;2;1;1616;1679;630;23
1519835704;2;2;2;1;837;894;614;22
1519837504;2;2;2;1;52;125;512;20
1519801800;2;2;2;1;1779;1833;666;11
1519800001;2;2;2;1;473;527;624;9
1519803600;2;2;2;1;4242;4330;678;15
1519805400;2;2;2;1;6059;6170;673;19
1519809000;2;2;2;1;8478;8623;654;25
1519807201;2;2;2;1;7342;7467;656;23
1519810800;2;2;2;1;9052;9199;655;28
1519812600;2;2;2;1;10504;10688;657;31
1519814400;2;2;2;1;11529;11792;651;34
1519816200;2;2;2;1;11788;12046;647;37
1519818000;2;2;2;1;11856;12115;647;39
1519819800;2;2;2;1;6961;7105;634;39
1519821600;2;2;2;1;10811;11048;641;38
1519827000;2;2;2;1;7352;7504;633;33
1519823404;2;2;2;1;9887;10105;632;38
